"Nome";"Código";"Latitude";"Longitude";"Altitude";"Status da Operação";"Ínicio da Operação"
"ACARAU - CE";82294;-2.88;-40.14;16.5;"Estação Desativada";"01/01/1923"
"AGUA BRANCA - AL";82989;-9.28;-37.9;605.34;"Estação Operante";"05/05/1928"
"AIMORES - MG";83595;-19.49;-41.07;82.74;"Estação Operante";"01/06/1972"
"ALAGOINHAS - BA";83249;-12.14;-38.42;130.92;"Estação Operante";"01/01/1931"
"ALTAMIRA - PA";82353;-3.21;-52.21;74.04;"Estação Operante";"24/04/1927"
"ALTO PARNAIBA - MA";82970;-9.1;-45.93;285.05;"Estação Operante";"21/08/1976"
"APODI - RN";82590;-5.61;-37.81;150;"Estação Operante";"18/12/1962"
"ARACAJU - SE";83096;-10.95;-37.04;4.72;"Estação Operante";"01/03/1910"
"ARACUAI - MG";83442;-16.83;-42.05;289;"Estação Operante";"06/09/1918"
"ARAGARCAS - GO";83368;-15.9;-52.23;345;"Estação Operante";"19/07/1970"
"ARAGUAINA - TO";82659;-7.2;-48.2;228.52;"Estação Operante";"21/08/1984"
"ARAXA - MG";83579;-19.6;-46.94;1023.61;"Estação Operante";"07/09/1916"
"ARCOVERDE - PE";82890;-8.41;-37.08;680.7;"Estação Operante";"01/02/1973"
"AREIA - PB";82696;-6.97;-35.68;574.62;"Estação Operante";"01/01/1929"
"ARINOS - MG";83384;-15.91;-46.1;519;"Estação Operante";"05/04/1976"
"AVARE - SP";83773;-23.08;-48.91;854;"Estação Operante";"01/01/1905"
"AVELAR  P DO ALFERES  - RJ";83049;-22.35;-43.41;507;"Estação Operante";"01/04/1971"
"BACABAL - MA";82460;-4.21;-44.76;25.07;"Estação Operante";"15/08/1976"
"BAGE - RS";83980;-31.33;-54.1;242.31;"Estação Operante";"01/01/1912"
"BALSAS - MA";82768;-7.53;-46.03;259.38;"Estação Operante";"14/08/1976"
"BAMBUI - MG";83582;-20.03;-45;661.27;"Estação Operante";"26/08/1926"
"BARBACENA - MG";83689;-21.25;-43.76;1126;"Estação Operante";"09/06/1914"
"BARBALHA - CE";82784;-7.31;-39.3;409.03;"Estação Operante";"01/01/1948"
"BARCELOS - AM";82113;-0.96;-62.91;40;"Estação Operante";"01/08/1924"
"BARRA - BA";83179;-11.08;-43.16;401.58;"Estação Operante";"03/03/1925"
"BARRA DO CORDA - MA";82571;-5.5;-45.23;153;"Estação Operante";"14/01/1912"
"BARREIRAS - BA";83236;-12.15;-45;439.29;"Estação Operante";"01/01/1924"
"BELEM - PA";82191;-1.43;-48.43;10;"Estação Operante";"01/11/1923"
"BELO HORIZONTE - MG";83587;-19.93;-43.93;915;"Estação Operante";"03/03/1910"
"BELTERRA - PA";82246;-2.63;-54.95;175.74;"Estação Operante";"01/08/1971"
"BENJAMIN CONSTANT - AM";82410;-4.38;-70.03;65;"Estação Operante";"01/01/1924"
"BENTO GONCALVES - RS";83941;-29.15;-51.51;640;"Estação Operante";"01/02/1918"
"BOA VISTA - RR";82024;2.82;-60.66;83;"Estação Operante";"01/01/1923"
"BOM DESPACHO - MG";83533;-19.68;-45.36;695;"Estação Operante";"01/01/1981"
"BOM JESUS - RS";83919;-28.66;-50.43;1047.5;"Estação Operante";"01/05/1948"
"BOM JESUS DA LAPA - BA";83288;-13.26;-43.41;439.96;"Estação Operante";"01/11/1941"
"BOM JESUS DO PIAUI - PI";82975;-9.1;-44.11;331.74;"Estação Operante";"19/04/1971"
"BRASILIA - DF";83377;-15.78;-47.92;1159.54;"Estação Operante";"12/09/1961"
"BREVES - PA";82188;-1.68;-50.48;14.74;"Estação Operante";"01/09/1970"
"C  DO MATO DENTRO - MG";83589;-19.02;-43.43;652;"Estação Operante";"30/06/1925"
"CABROBO - PE";82886;-8.51;-39.33;341.46;"Estação Operante";"17/10/1927"
"CACERES - MT";83405;-16.05;-57.68;118;"Estação Operante";"01/01/1912"
"CAETITE - BA";83339;-14.06;-42.48;882.47;"Estação Operante";"01/01/1907"
"CALDAS P  DE CALDAS  - MG";83681;-21.91;-46.38;1150;"Estação Operante";"10/11/1988"
"CALDEIRAO - PI";82474;-4.28;-41.8;160;"Estação Operante";"01/02/1972"
"CAMETA - PA";82263;-2.25;-49.5;23.9;"Estação Operante";"01/05/1970"
